r11,r21,r12,r22,tx,ty
1.00196,0.000575595,0.000467257,1.00208,9.21419,3.28388
1.00197,0.00112643,0.000343305,1.00184,12.2814,3.34411
1.00172,0.000426735,0.000195011,1.00141,12.8244,3.48496
1.00125,0.00105409,-0.000171103,1.00112,10.3147,3.5316
1.0005,0.000488096,-0.000176309,1.0003,7.85833,2.77858
0.999622,0.000466171,-0.000193197,0.999612,5.51944,2.25788
0.999107,0.000355866,-0.000208628,0.99901,2.82282,1.65183
0.998725,3.21631e-05,-0.000135579,0.998744,0.841659,0.898274
0.998327,-1.35991e-05,-6.69887e-05,0.998367,-0.102596,0.924465
0.99819,-0.000222039,0.000133822,0.998404,-0.816361,0.894168
0.998599,-2.26427e-05,4.87199e-05,0.998619,-0.949728,0.740353
0.998587,-0.000110439,6.28626e-05,0.998625,-0.797024,0.921514
0.998537,-0.000118096,0.000120945,0.998676,-0.885515,0.805968
0.998946,-0.000426087,0.000316455,0.998908,-1.15839,0.774502
0.999519,-0.000221223,0.000122825,0.999608,-0.998407,0.219604
1.00004,-0.000112288,0.000150983,1.00003,-1.02474,-0.0579046
1.00042,-8.27437e-05,6.27191e-05,1.00031,-0.834462,-0.134332
1.0005,-0.000248563,9.8248e-05,1.00048,-1.11652,-0.1609
1.00055,-0.000152683,0.000188266,1.00055,-1.13751,-0.230901
1.00058,-0.00060638,0.000333144,1.00054,-1.12511,0.0118015
1.00057,-0.000961385,0.00108737,1.00047,-1.49808,-0.84676
1.00066,-0.00110755,0.00109765,1.0003,-0.661523,-3.15018
1.00063,-0.000729897,0.000775741,1.00025,-0.0165158,-4.85011
1.0004,-0.000255458,0.000365376,0.999742,0.926588,-6.38669
1.00021,-8.67822e-05,-0.000100704,0.999543,1.75697,-7.52863
0.999963,-0.000118985,7.49303e-05,0.999021,1.71807,-8.49613
1.0003,0.000185123,0.000126937,0.999526,3.63338,-9.81518
1.00047,0.000237191,9.36328e-05,0.999569,6.20754,-10.1348
1.00055,0.000444896,-7.70039e-05,0.999705,7.886,-9.43803
1.00076,0.000744414,-6.15588e-05,0.999795,9.49942,-8.59065
1.00112,0.00067092,7.67449e-05,1.00023,10.9187,-7.97877
1.00131,0.000884767,-1.87339e-05,1.00041,12.2966,-7.24115
1.00126,0.00087032,9.07673e-05,1.00042,13.4122,-6.40708
1.00105,0.00102874,-4.31081e-05,1.0003,14.5069,-5.90272
1.00085,0.000943345,0.000113807,1.00002,15.4666,-5.30233
1.00069,0.00109833,0.000169558,0.999916,16.3064,-4.78762
1.00057,0.00115815,5.97599e-05,0.999768,16.8745,-4.29043
1.00055,0.00128541,5.51245e-05,0.999867,17.4569,-3.95931
1.00045,0.0012684,0.000103151,0.999661,18.0897,-3.3762
1.00046,0.00155327,-4.79482e-06,0.999817,18.563,-3.27469
1.00052,0.00127529,0.000116777,0.999699,19.2665,-3.08171
1.00056,0.00123415,0.000151094,0.999797,19.6776,-2.77859
1.00068,0.00151563,7.64769e-05,0.99986,20.1143,-2.7683
1.00056,0.00139861,0.000210102,0.999727,20.5256,-2.32489
1.00053,0.00113724,0.000288551,0.999587,19.7066,-3.89595
1.00046,0.0011393,0.000136013,0.999463,19.3082,-4.99679
1.00028,0.0014691,8.0088e-05,0.999153,19.3059,-6.01709
1.00016,0.00109543,0.000102697,0.998986,19.2991,-7.03377
1.00001,0.00127212,-2.54061e-05,0.998828,18.9793,-7.95474
1.00002,0.00147312,-5.14575e-05,0.998561,19.0255,-8.81834
0.999931,0.00126279,-8.35229e-05,0.998591,18.5855,-9.86111
0.999885,0.00116103,-0.000173491,0.998406,18.345,-10.676
0.999832,0.00108816,-0.000132625,0.998395,18.1811,-11.6219
1.00005,0.00138182,-0.000218962,0.998585,18.1127,-11.7894
0.99995,0.00118419,-0.000234145,0.998243,18.0325,-12.5465
0.999982,0.00129025,-8.23514e-05,0.99851,17.9265,-12.8997
0.999972,0.00121187,-0.000220425,0.998398,18.6082,-12.4715
1.00033,0.00180208,-0.000529754,0.998968,19.3876,-11.7442
1.00056,0.00182088,-0.000431676,0.999121,19.9864,-10.6531
1.00082,0.00213659,-0.000881391,0.999599,20.4435,-9.0697
1.00092,0.00214537,-0.00070797,1.00007,20.2249,-6.78121
1.00099,0.00210092,-0.000719187,1.00021,19.8055,-4.54121
1.00113,0.00201369,-0.00067438,1.00053,19.479,-2.48554
1.00123,0.00215778,-0.000522485,1.00063,19.2744,-0.507554
1.00115,0.00192367,-0.000484352,1.00087,19.1136,0.891953
1.00112,0.0019509,-0.000397354,1.00095,18.9053,2.73949
1.00112,0.00187205,-0.000332555,1.0011,18.6133,4.20672
1.00111,0.00165699,-4.87095e-05,1.00102,18.5184,5.62351
1.00117,0.00179054,-7.33553e-05,1.00136,18.1933,6.52296
1.00129,0.00160868,6.88197e-05,1.00129,18.1683,7.59024
1.00129,0.00150477,0.000117913,1.0015,17.9765,8.29355
1.00132,0.00154,0.000114612,1.00163,17.7163,8.85133
1.0013,0.00129596,0.000645765,1.0015,20.7657,10.1691
1.00096,0.000107503,0.000652369,1.0011,15.5355,8.86059
1.0008,0.000748647,0.000477888,1.00093,12.8205,7.66032
1.00057,0.00115749,0.000110889,1.00067,12.5734,6.98416
1.00045,0.000824346,0.000307539,1.00051,12.2463,5.9127
1.00065,0.00091492,0.000292284,1.00041,12.6007,4.13032
1.00078,0.000874531,0.000410964,1.00062,13.6383,3.14506
1.00092,0.00072723,0.000525564,1.00049,14.5065,2.25002
1.00108,0.000866758,0.000473575,1.00067,15.288,1.04373
1.00125,0.00089558,0.00048887,1.0007,15.9399,0.133788
1.00125,0.000974028,0.000411764,1.00075,16.7082,-0.476301
1.00119,0.00103808,0.000361417,1.00055,17.3442,-1.51423
1.00121,0.00107918,0.000309098,1.00049,18.1878,-1.73689
1.00106,0.00138732,0.000176583,1.00023,18.689,-2.59955
1.0013,0.00166722,0.000152805,1.00038,21.1084,-3.12047
1.00166,0.00125756,0.000197993,1.00088,23.4153,-1.73961
1.00128,0.000484625,4.10378e-05,1.00067,19.0813,-0.210362
1.00107,0.00118501,-0.000359492,1.00065,14.9672,0.659219
1.00092,0.000744746,-0.000406857,1.0007,11.1481,1.09939
1.00044,0.000701968,-0.000460701,1.00024,8.27996,1.30426
0.999918,0.000530148,-0.000470493,0.999766,5.04639,1.03567
0.999496,0.000391549,-0.000441044,0.999615,1.49566,0.210949
0.99918,0.000944511,-0.00101616,0.999161,0.458664,0.207268
0.998832,0.00107064,-0.00102861,0.998902,-0.0738102,0.307376
0.99859,0.000855562,-0.000885976,0.998707,-0.572242,0.148334
0.998799,0.000718066,-0.000700199,0.998827,-0.92546,0.265284
0.998857,0.000541461,-0.000538758,0.998978,-1.2066,0.268685
0.999001,0.000526625,-0.000517166,0.999053,-0.983191,0.156014
0.999006,0.000237401,-0.000373607,0.999142,-1.39952,-0.000772959
0.999389,0.000216715,-0.00022338,0.999437,-1.34871,0.116337
0.999958,0.000308955,-0.000176562,0.99993,-1.34884,-0.0292691
1.00056,0.000278616,-0.000321034,1.0005,-1.43122,-0.266986
1.00093,0.000335746,-0.000346236,1.00096,-1.3483,-0.190615
1.00105,0.000338102,-0.000301793,1.00105,-1.20469,-0.317191
1.0011,8.08544e-05,-0.000217884,1.00107,-0.980423,-0.282613
1.00106,0.000279298,-0.000272121,1.00119,-1.04985,-0.49914
1.00107,0.000295462,-0.000233054,1.00104,-0.871486,-0.382471
1.00108,0.000214344,-0.000272021,1.00106,-1.01436,-0.392952
1.00096,9.37268e-05,-0.000182155,1.00107,-1.1796,-0.41966
1.00091,-7.41171e-05,-3.54693e-05,1.00091,-1.30596,-0.285702
1.001,-0.000259199,0.000498415,1.00102,-0.607189,-0.451952
1.00139,-0.0001552,0.000616294,1.00119,3.15271,-0.844457
1.00131,-1.74249e-05,0.000526636,1.00125,4.95772,-0.317651
1.00127,0.000299245,0.00045103,1.00105,6.89624,-0.31632
1.00139,0.000280337,0.000539234,1.0013,8.56723,0.184544
1.00126,0.000563376,0.000467907,1.0012,9.7927,0.56811
1.00106,0.00103195,0.000489832,1.00092,11.8787,1.35025
1.00093,-0.000311355,0.000668896,1.00053,14.0808,1.6603
1.00054,0.000349886,7.87663e-05,1.00021,10.7546,1.74632
0.999997,0.000534609,-0.000112873,0.999853,7.68644,1.61692
0.999408,0.000227339,-0.000190229,0.999316,4.79585,1.23169
0.999048,-0.000121814,-6.30339e-05,0.999141,1.09232,0.30988
0.998532,0.000427124,-0.000405472,0.998626,-0.611992,0.0678972
0.998333,0.000406427,-0.000470356,0.998392,-0.731577,0.208629
0.998209,0.00035952,-0.00041948,0.998383,-1.41091,0.100952
0.998396,6.82791e-05,-0.0001694,0.998506,-1.85391,0.244361
0.998738,-0.000117609,-5.5022e-05,0.998596,-1.72548,-0.175332
0.999127,0.000342267,-0.000220124,0.999146,-1.40229,-0.595565
0.999629,0.000251348,-0.000312453,0.99957,-1.01398,-0.385796
0.999767,0.000110917,-0.000224546,0.999784,-0.959406,-0.210313
0.999783,0.000130219,-0.000133177,0.999839,-1.25229,-0.165015
0.999918,0.000173418,-0.000150431,0.999972,-0.849733,-0.217835
0.999953,0.000365727,-0.000159517,1.00001,-0.602089,-0.130507
0.999932,0.000193998,-0.000110191,0.999973,-0.49227,-0.0172646
1.00005,0.000144019,-0.000166439,1.00007,-0.461782,0.0924312
1.00028,0.000287558,-0.000130835,1.00015,-0.631174,0.0159891
1.00045,0.000327331,-0.000287812,1.00042,-0.476231,-0.196288
1.00056,0.00011459,-0.000133441,1.00038,-0.477516,0.0340018
1.00057,0.000212714,-0.000112419,1.00052,-0.59505,0.0632889
1.0007,6.9416e-05,-8.6298e-05,1.00062,-0.748619,0.00848108
1.0008,0.000155331,-0.000108638,1.00074,-0.977697,-0.131635
1.00082,0.000216134,-0.000179808,1.00082,-0.333308,-0.147641
1.00082,0.000147648,-8.26517e-05,1.00074,-0.219752,-0.123636
1.00078,0.000111749,-8.40973e-05,1.00071,-0.215961,-0.00879079
1.0007,6.03901e-05,-9.8066e-05,1.00065,-0.367053,-0.121199
1.00055,5.38148e-05,-5.32289e-05,1.00052,-0.283549,-0.100809
1.0006,-2.91067e-05,-0.000102097,1.00062,-0.475481,-0.270179
1.0004,8.59382e-05,1.26112e-05,1.00034,-0.380991,-0.143892
1.00047,-0.000133777,5.67087e-07,1.00034,-0.377382,-0.173176
1.00028,5.96478e-05,-2.77115e-06,1.0002,-0.350838,-0.0375184
1.00032,8.24446e-05,-4.69145e-05,1.0002,-0.305206,-0.0172909
1.00017,4.74984e-06,-1.74686e-05,1.00014,-0.359064,0.0153452
1.00021,-0.000174057,1.86593e-05,1.00018,-0.304539,0.0443559
1.00011,3.1423e-05,2.30808e-05,1.00008,-0.101145,-0.028358
1.00005,2.4377e-05,-1.16566e-05,1.00007,-0.0560526,-0.00910686
0.999958,1.2194e-05,-2.37535e-05,1.00001,-0.21147,0.0118717
0.999899,2.12913e-06,-4.67244e-05,0.999904,-0.0313912,-0.0371002
0.999844,0.000121425,-8.35659e-05,0.999911,0.0317578,0.0169349
0.99976,2.61726e-05,-8.7358e-05,0.999754,0.0449861,0.103287
0.999707,2.95366e-05,-1.71408e-05,0.999613,0.0491942,0.172414
0.99967,8.40979e-05,-5.06082e-05,0.999587,0.125207,0.236489
0.999758,-7.77786e-06,-2.14e-05,0.999725,0.0888083,0.179147
0.999706,-0.000167868,2.35337e-05,0.999869,-0.266152,0.102328
1.00013,-0.00023989,0.000627196,1.00023,0.367047,0.764461
1.00023,-6.8417e-05,0.000396834,1.0004,2.38662,1.87561
1.00002,0.000100464,0.000210468,1.00039,3.22992,3.30174
1.00019,0.000361707,0.000354547,1.00052,4.12179,4.6269
1.00042,9.82547e-05,0.000458101,1.00083,5.16896,5.63151
1.0006,0.000337378,0.00050378,1.0012,5.99707,6.60469
1.00057,0.000175106,0.000708478,1.00096,7.08298,7.81932
1.00047,0.000294227,0.000826888,1.00094,8.99776,7.89564
1.00059,0.000557628,0.000720813,1.00086,10.4823,7.74735
1.00069,0.000786927,0.000677354,1.00097,12.2689,7.43572
1.00104,0.000307978,0.000760687,1.0007,16.2783,6.76734
1.00093,0.000861998,0.000146356,1.00091,12.8619,5.72126
1.00063,0.000486616,-3.66358e-05,1.00057,9.933,4.68075
1.00023,0.000645826,-0.000217181,1.00007,7.59713,3.68812
0.999771,0.000484193,-0.000199967,0.999831,5.32731,2.95756
0.999415,0.00035853,-0.000258694,0.999383,2.57233,1.88804
0.999075,-0.000307648,3.82049e-05,0.999245,-0.612669,0.991823
0.99915,5.02876e-05,0.000416969,0.999196,0.635321,0.442034
0.999185,2.48306e-05,0.000418684,0.999072,3.68119,0.1232
0.999488,0.000185781,0.000315318,0.999474,5.28586,0.155363
0.999977,0.000501717,0.00030582,0.999737,7.32322,0.21912
1.0005,0.000683002,0.000227907,1.00027,9.25315,0.0930074
1.00075,0.000854711,0.000158153,1.00047,10.1368,-0.0774589
1.00083,0.000884532,0.000230263,1.00049,11.7058,-0.0232425
1.00088,0.000966026,0.000167073,1.00049,13.1717,0.0181261
1.0009,0.00108785,0.00014392,1.00056,14.0619,0.18252
1.00101,0.00152589,4.283e-06,1.00049,15.2132,0.0555509
1.00114,0.00192254,-0.000443433,1.0007,15.8984,0.0381003
1.0014,0.00189102,-0.000521482,1.00109,16.7944,-0.118419
1.00161,0.00228507,-0.000884136,1.00139,17.4834,1.46423
1.00179,0.00219463,-0.000440287,1.00166,17.6371,2.71807
1.00212,0.000951549,0.000572699,1.0021,18.7313,4.59241
1.00217,0.00137378,6.04769e-05,1.00233,16.8609,6.28282
1.00213,0.00125979,0.000267401,1.00249,16.1125,7.99274
1.00209,0.000529059,0.000761966,1.00232,16.9097,9.42979
1.0018,0.000792813,0.000215534,1.00233,13.5506,10.0924
1.0016,0.000438505,0.000176069,1.00219,10.2228,10.8894
1.00137,0.000403246,0.000269595,1.00205,7.74725,11.6282
1.00117,0.000201578,0.000139034,1.00199,5.01271,12.0836
1.00124,-2.09068e-05,1.64372e-05,1.00223,2.0867,12.7553
1.00133,-0.000203911,-4.80273e-07,1.00234,-0.188861,13.1002
1.00135,-0.000186294,2.7685e-05,1.00225,-1.94914,13.3467
1.00119,-0.000188992,2.24679e-05,1.00253,-3.89337,13.8636
1.001,-0.000434154,-4.11783e-05,1.00221,-5.27646,14.3085
1.00084,-0.000394877,-0.000154844,1.00198,-6.6335,14.3584
1.00062,-0.00104948,0.000189489,1.00194,-10.0492,14.455
1.00052,-0.000916223,0.000355087,1.00218,-11.2235,15.0469
1.00038,-0.000229282,4.93416e-05,1.00223,-10.026,16.2519
1.00056,-0.000579762,0.000282631,1.00211,-8.54276,16.8714
1.00067,-0.000671131,0.000631691,1.0024,-7.39974,17.2764
1.0009,-0.000510968,0.000776076,1.00255,-4.31416,17.5915
1.00083,-0.000546772,0.000791269,1.00231,-2.49539,17.5544
1.00091,-0.000238923,0.000763282,1.00245,-0.646535,17.7137
1.00087,-3.13261e-05,0.000740475,1.00241,1.00172,17.3061
1.00088,0.000198996,0.000575588,1.00221,2.38424,17.7164
1.0007,0.000130023,0.00091049,1.00192,4.55407,17.0024
1.00072,-1.52198e-05,0.00084504,1.00177,6.704,15.5492
1.00087,0.000770514,0.000694579,1.00166,8.36465,14.2561
1.00095,0.000605509,0.000645517,1.00165,9.64402,12.7578
1.00134,0.00086915,0.000570692,1.00192,11.1175,11.5383
1.00169,0.000863232,0.000581881,1.0022,12.0076,10.2435
1.00195,0.0010447,0.000499556,1.00214,13.276,9.13611
1.00208,0.00123621,0.000265575,1.00233,14.228,8.18091
1.00214,0.00085363,0.000666335,1.0025,15.2558,8.36456
1.00209,0.00235147,-0.000891571,1.00254,14.734,9.71636
1.00224,0.00233136,-0.000946308,1.00291,14.2395,10.751
1.00233,0.00230908,-0.000699711,1.00297,13.6599,12.0961
1.00235,0.00116362,0.000258744,1.00312,13.9487,13.2607
1.00226,0.000848041,0.000270306,1.00313,12.8011,14.2868
1.00214,0.000987201,0.000351458,1.00314,10.8919,15.3971
1.00227,0.00110264,0.000337933,1.00328,12.2895,16.1843
1.00214,0.000391247,0.000338551,1.00323,11.199,16.7665
1.00216,0.000170639,0.000387681,1.00308,8.45273,16.6793
1.00202,9.68387e-06,0.000247211,1.00313,5.78458,16.9146
1.00119,-0.000997388,0.0006861,1.00241,-0.988421,16.5833
1.00091,-0.000270454,0.000806023,1.00175,-1.20502,13.1722
1.0006,-0.000336022,0.000693665,1.00148,-0.940046,10.1809
0.999981,7.04768e-05,7.96795e-05,1.00024,-0.237328,7.89184
0.999587,5.26661e-05,0.00016225,1.00013,-0.474595,5.67425
0.99961,0.00039172,-0.00034528,0.999661,-0.295687,3.61445
0.999648,0.00045197,-0.000340835,0.999801,-0.985946,2.11775
0.999703,0.00029823,-0.000409421,0.999723,-0.927337,1.51565
0.9996,0.000440673,-0.000418858,0.99975,-1.01207,1.31738
0.999639,0.000386717,-0.000442309,0.999645,-1.11127,1.08755
0.999767,0.000287846,-0.000308533,0.999838,-1.04828,0.897753
0.999839,0.000290666,-0.000284948,0.999886,-1.09536,0.716964
1.00008,0.000373937,-0.000446539,1.0001,-0.970331,0.692391
1.00054,0.000383386,-0.000321051,1.00045,-0.759918,0.295559
1.00082,0.000533388,-0.000429544,1.00081,-0.796774,0.202271
1.00095,0.000323426,-0.000401164,1.00094,-0.793256,0.0798034
1.00111,0.000392558,-0.000363061,1.00119,-0.705527,0.17375
1.00112,0.000279142,-0.000204393,1.00106,-0.660277,0.231575
1.00112,0.000349442,-0.000289556,1.00119,-0.216157,0.160764
1.00115,0.000355526,-0.000326746,1.0011,-0.108415,-0.00146143
1.0011,0.000256679,-0.000256849,1.00112,-0.0429367,0.0778086
1.00095,0.000273282,-0.000169796,1.0008,-0.114697,0.0864554
1.00086,0.000163047,-0.000172212,1.00083,-0.0652228,-0.0149627
1.00078,0.000223296,-0.000127437,1.00065,-0.0328937,0.0312058
1.00066,0.000192664,-0.000309197,1.00067,-0.111822,-0.206007
1.00054,0.000392019,-0.000268723,1.0005,-0.339211,-0.103352
1.00027,0.000190319,-0.000156002,1.0003,-0.0504841,-0.0895748
